TIGRFAM	link	mainrole	subrole	Name	Function	Isology_Type	EC_Number
TIGR00001	158	Protein synthesis	Ribosomal proteins: synthesis and modification	rpmI_bact	ribosomal protein bL35	equivalog	
TIGR00002	158	Protein synthesis	Ribosomal proteins: synthesis and modification	S16	ribosomal protein bS16	equivalog	
TIGR00003	145	Transport and binding proteins	Cations and iron carrying compounds	TIGR00003	copper ion binding protein	subfamily_domain	
TIGR00004	92	Cellular processes	Other	TIGR00004	reactive intermediate/imine deaminase	subfamily	
TIGR00005	168	Protein synthesis	tRNA and rRNA base modification	rluA_subfam	"_pseudouridine synthase, RluA family_"	subfamily	5.4.99.-
TIGR00006	168	Protein synthesis	tRNA and rRNA base modification	TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	equivalog	2.1.1.199
TIGR00007	161	Amino acid biosynthesis	Histidine family	TIGR00007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	equivalog	5.3.1.16
TIGR00008	169	Protein synthesis	Translation factors	infA	translation initiation factor IF-1	equivalog	
TIGR00009	158	Protein synthesis	Ribosomal proteins: synthesis and modification	L28	ribosomal protein bL28	equivalog	
TIGR00010	703	Unknown function	Enzymes of unknown specificity	TIGR00010	"_hydrolase, TatD family_"	subfamily	
TIGR00011	137	Protein synthesis	tRNA aminoacylation	YbaK_EbsC	Cys-tRNA(Pro) deacylase	hypoth_equivalog	3.6.1.-
TIGR00012	158	Protein synthesis	Ribosomal proteins: synthesis and modification	L29	ribosomal protein uL29	equivalog	
TIGR00013	184	Energy metabolism	Other	taut	4-oxalocrotonate tautomerase family enzyme	subfamily	5.3.2.-
TIGR00014	96	Cellular processes	Detoxification	arsC	arsenate reductase (glutaredoxin)	equivalog	1.20.4.1
TIGR00016	114	Energy metabolism	Fermentation	ackA	acetate kinase	equivalog	2.7.2.1
TIGR00017	124	"Purines, pyrimidines, nucleosides, and nucleotides"	Nucleotide and nucleoside interconversions	cmk	cytidylate kinase	equivalog	2.7.4.14
TIGR00018	83	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	panC	pantoate--beta-alanine ligase	equivalog	6.3.2.1
TIGR00019	169	Protein synthesis	Translation factors	prfA	peptide chain release factor 1	equivalog	
TIGR00020	169	Protein synthesis	Translation factors	prfB	peptide chain release factor 2	equivalog	
TIGR00021	117	Energy metabolism	Pentose phosphate pathway	rpiA	ribose 5-phosphate isomerase A	equivalog	5.3.1.6
TIGR00022	157	Unknown function	General	TIGR00022	YhcH/YjgK/YiaL family protein	subfamily	
TIGR00023	176	Fatty acid and phospholipid metabolism	Biosynthesis	TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase	equivalog	2.3.1.-
TIGR00024	703	Unknown function	Enzymes of unknown specificity	SbcD_rel_arch	putative phosphoesterase	hypoth_equivalog	3.1.-.-
TIGR00026	703	Unknown function	Enzymes of unknown specificity	hi_GC_TIGR00026	"_deazaflavin-dependent oxidoreductase, nitroreductase family_"	subfamily	
TIGR00027	703	Unknown function	Enzymes of unknown specificity	mthyl_TIGR00027	"_methyltransferase, TIGR00027 family_"	subfamily	2.1.1.-
TIGR00029	158	Protein synthesis	Ribosomal proteins: synthesis and modification	S20	ribosomal protein bS20	equivalog	
TIGR00030	158	Protein synthesis	Ribosomal proteins: synthesis and modification	S21p	ribosomal protein bS21	equivalog	
TIGR00031	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	UDP-GALP_mutase	UDP-galactopyranose mutase	equivalog	5.4.99.9
TIGR00032	73	Amino acid biosynthesis	Glutamate family	argG	argininosuccinate synthase	equivalog	6.3.4.5
TIGR00033	70	Amino acid biosynthesis	Aromatic amino acid family	aroC	chorismate synthase	equivalog	4.2.3.5
TIGR00034	70	Amino acid biosynthesis	Aromatic amino acid family	aroFGH	3-deoxy-7-phosphoheptulonate synthase	equivalog	2.5.1.54
