sample	day	trt	"_Bacteroides conjugation system ATPase, TraG family_"	"_conjugative coupling factor TraD, SXT/TOL subfamily_"	Bacteroides conjugative transposon TraJ protein	Bacteroides conjugative transposon TraK protein	Bacteroides conjugative transposon TraM protein	Bacteroides conjugative transposon TraN protein	conjugal transfer/type IV secretion protein DotA/TraY	conjugative relaxase domain	conjugative transfer signal peptidase TraF	P-type conjugative transfer protein VirB9	P-type DNA transfer ATPase VirB11	plasmid transfer ATPase TraJ	TraB family protein	TraF-like protein	type IV conjugative transfer system coupling protein TraD	type IV conjugative transfer system pilin TraA	type IV conjugative transfer system protein TraE	type IV conjugative transfer system protein TraL	type IV conjugative transfer system protein TraV	type IV pilus assembly protein PilM	type IV pilus biogenesis protein PilP	type IV pilus biogenesis/stability protein PilW	type IV pilus secretin PilQ	type-F conjugative transfer system mating-pair stabilization protein TraN	type-F conjugative transfer system pilin acetylase TraX	type-F conjugative transfer system pilin assembly protein TraF	type-F conjugative transfer system pilin assembly protein TrbC	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB	type-F conjugative transfer system pilin chaperone TraQ	type-F conjugative transfer system protein TraW	type-F conjugative transfer system protein TrbI	type-F conjugative transfer system secretin TraK	type-IV secretion system protein TraC
d07ctrl031	7	ctrl	7	94	2	3	0	0	392	423	0	0	360	202	5	62	752	117	107	106	178	273	233	1367	2094	529	295	253	202	259	47	251	159	308	690
d07ctrl032	7	ctrl	178	113	41	33	72	89	184	102	0	0	962	65	4	59	210	22	48	37	47	47	408	1970	679	150	72	75	61	59	11	91	33	102	280
d07ctrl033	7	ctrl	466	38	229	116	353	150	56	45	0	0	86	41	8	8	222	34	34	30	87	2012	105	7801	744	199	68	120	64	86	19	90	41	53	192
d07ctrl034	7	ctrl	0	7	0	0	0	0	0	49	0	0	14	7	7	0	38	0	3	7	3	24	6	735	24	0	13	10	10	7	7	7	3	21	35
d07ctrl035	7	ctrl	361	452	96	80	159	74	149	366	0	0	664	42	106	202	956	74	202	90	255	22	446	8404	1493	744	260	346	351	287	48	282	207	260	754
d07ctrl036	7	ctrl	49	7	80	38	66	56	7	49	0	0	52	7	7	0	87	21	14	0	7	94	35	977	299	45	28	41	45	10	7	17	21	49	76
d07ctrl037	7	ctrl	24	0	0	0	10	10	0	5	0	0	44	10	29	10	5	5	15	0	5	39	29	1248	77	10	0	10	0	5	0	0	5	15	5
d07ctrl038	7	ctrl	8	109	8	0	15	15	339	505	0	0	3523	140	15	53	1350	162	283	264	302	19	1750	3772	2644	1079	389	393	487	502	147	449	290	434	1347
d07ctrl039	7	ctrl	712	42	251	155	438	280	16	16	0	0	81	26	19	6	35	10	6	3	16	415	51	439	164	29	13	9	3	13	3	6	13	13	45
d07ctrl040	7	ctrl	1279	70	565	359	815	491	226	258	0	0	620	94	43	82	706	136	125	109	105	152	210	218	1486	523	187	160	187	191	66	148	109	195	530
