sample	day	trt	"_holin, phage phi LC3 family_"	"_holin, SPP1 family_"	"_phage conserved hypothetical protein, C-terminal domain_"	"_phage conserved hypothetical protein, phiE125 gp8 family_"	"_phage head morphogenesis protein, SPP1 gp7 family_"	"_phage holin, lambda family_"	"_phage holin, LL-H family_"	"_phage lysis regulatory protein, LysB family_"	"_phage major capsid protein, HK97 family_"	"_phage major capsid protein, P2 family_"	"_phage major tail protein, phi13 family_"	"_phage major tail protein, TP901-1 family_"	"_phage minor structural protein, N-terminal region_"	"_phage portal protein, HK97 family_"	"_phage portal protein, lambda family_"	"_phage portal protein, PBSX family_"	"_phage portal protein, putative, A118 family_"	"_phage portal protein, SPP1 family_"	"_phage prohead protease, HK97 family_"	"_phage protein, HK97 gp10 family_"	"_phage regulatory protein, Rha family_"	"_phage replication protein O, N-terminal domain_"	"_phage replisome organizer, putative, N-terminal region_"	"_phage tail tape measure protein, lambda family_"	"_phage tail tape measure protein, TP901 family, core region_"	"_phage terminase, large subunit, PBSX family_"	"_phage transcriptional regulator, ArpU family_"	"_phage transcriptional regulator, RinA family_"	"_phage uncharacterized protein, C-terminal domain_"	"_phage uncharacterized protein, XkdX family_"	"_phage-associated protein, BcepMu gp16 family_"	"_phage-associated protein, HI1409 family_"	"_phage/conjugal plasmid C-4 type zinc finger protein, TraR family_"	"_phage/plasmid primase, P4 family, C-terminal domain_"	"_phage/plasmid replication protein, gene II/X family_"	"_RNA ligase, Rnl2 family_"	"_RNA ligase, T4 RnlA family_"	conserved hypothetical phage tail region protein	phage baseplate assembly protein V	phage conserved hypothetical protein BR0599	phage conserved hypothetical protein TIGR01671	phage major tail tube protein	phage minor tail protein G	phage minor tail protein L	phage N-6-adenine-methyltransferase	phage nucleotide-binding protein	phage recombination protein Bet	phage shock operon rhodanese PspE	phage shock protein A	phage shock protein B	phage shock protein C	phage shock protein G	phage shock protein PspD	phage tail assembly protein T	phage tail protein domain	phage tail protein I	phage virion morphogenesis protein	phage/plasmid-like protein TIGR03299
d07ctrl031	7	ctrl	4511	8882	3404	56	31496	42	342	450	121181	3106	27540	7427	85309	49496	22126	3942	259	32438	16133	18893	2701	583	14678	5931	154421	59428	299	278	12498	504	11	623	789	76323	286	0	0	7611	4781	0	15487	2974	683	1729	2126	13	8755	183	635	125	117	617	98	745	6140	12971	1760	14128
d07ctrl032	7	ctrl	3473	4163	534	90	13059	2	170	117	45012	1051	13506	679	31513	28413	29443	1549	223	6520	5356	4694	2293	173	10653	2082	66468	32031	235	768	5746	459	0	1011	259	65799	430	0	0	4436	1562	0	2599	1093	214	611	644	61	4213	89	234	48	76	167	35	212	2230	14531	549	5560
d07ctrl033	7	ctrl	2479	18702	2005	148	42708	0	572	177	96824	910	19961	1164	49253	58064	33711	1651	113	8807	8379	6839	1949	240	18549	2371	138595	29250	254	801	44069	137	559	453	139	121857	780	0	0	4039	1902	0	4750	1504	240	528	575	26	8202	61	226	27	41	241	53	263	2112	20690	2253	26692
d07ctrl034	7	ctrl	2282	3109	522	0	14225	0	644	17	32557	42	10899	685	17074	17029	41331	596	174	4449	3136	3595	2545	14	10314	145	50844	38466	122	177	8094	1265	3	836	17	65296	0	0	0	4850	121	0	403	41	7	13	27	3	1027	17	28	3	14	14	0	27	2132	17287	76	11117
d07ctrl035	7	ctrl	8299	1350	909	38	29803	16	296	563	57180	2884	14917	786	45901	38356	16205	4496	112	15070	6883	5649	1815	696	12895	6736	77488	89502	92	170	11096	946	0	1445	664	99625	340	0	0	5166	4000	0	3671	2008	600	1897	1497	74	2725	250	611	122	250	632	122	733	1184	9937	1987	3764
d07ctrl036	7	ctrl	2894	24479	399	274	15743	0	678	24	139267	247	26532	726	54119	47478	35536	1442	202	4469	9428	4937	1175	48	17741	664	125046	24399	134	692	11590	228	34	249	41	92908	619	0	0	3103	448	0	2516	455	73	215	254	14	11232	35	35	10	3	83	7	70	1953	18449	570	36984
d07ctrl037	7	ctrl	3755	10882	702	350	13589	0	381	10	87562	169	21697	1715	47335	43098	17463	722	455	7133	11530	5128	1522	49	16014	170	69198	26262	295	537	15951	49	53	116	20	111100	649	0	0	1701	126	0	2385	72	29	53	29	198	5196	5	5	5	5	0	5	38	1219	7219	107	21646
d07ctrl038	7	ctrl	3619	4719	1217	30	15482	34	99	751	56317	4341	16126	561	39488	36693	114768	5353	129	5855	5632	5172	2015	991	12935	10092	123010	36645	254	753	5038	257	19	280	996	61762	76	15	0	4229	7639	0	2815	4059	1011	2981	3255	75	3385	302	811	215	358	856	196	1185	1808	56099	2192	4988
d07ctrl039	7	ctrl	2594	28726	900	328	55771	0	818	13	92679	167	17894	1311	44655	45590	95510	524	84	6789	10910	8028	984	61	15181	349	245581	56223	89	1111	31694	1191	145	138	47	84393	547	0	0	1487	299	0	3073	234	48	81	158	32	19995	32	45	3	6	29	3	22	1603	50558	220	27436
d07ctrl040	7	ctrl	2132	22145	702	152	17218	0	233	340	47365	2269	16275	642	26407	33075	93314	3082	24	6665	4116	5242	955	495	13032	5066	206314	28042	107	527	9424	87	117	125	480	68353	332	0	4	1143	3697	8	3099	2072	523	1549	1709	4	3748	215	456	47	136	453	113	561	1128	47514	1133	29463
