		d07ctrl031	d07ctrl032	d07ctrl033	d07ctrl034	d07ctrl035	d07ctrl036	d07ctrl037	d07ctrl038	d07ctrl039	d07ctrl040	d07sub041	d07sub042	d07sub043	d07sub044	d07sub045	d07sub046	d07sub047	d07sub048	d07sub049	d07sub050	d07ther051	d07ther052	d07ther053	d07ther054	d07ther055	d07ther056	d07ther057	d07ther058	d07ther059	d07ther060	d35ctrl091	d35ctrl092	d35ctrl093	d35ctrl094	d35ctrl095	d35ctrl096	d35ctrl097	d35ctrl098	d35ctrl099	d35ctrl100	d35sub101	d35sub102	d35sub103	d35sub104	d35sub105	d35sub106	d35sub107	d35sub108	d35sub109	d35sub110	d35ther111	d35ther112	d35ther113	d35ther114	d35ther115	d35ther116	d35ther117	d35ther118	d35ther119	d35ther120	d78ctrl181	d78ctrl182	d78ctrl183	d78ctrl184	d78ctrl185	d78ctrl186	d78ctrl187	d78ctrl188	d78ctrl189	d78ex1sub	d78ex2sub	d78ex3sub	d78sub191	d78sub192	d78sub193	d78sub194	d78sub195	d78sub196	d78sub197	d78sub198	d78sub199	d78sub200	d78ther201	d78ther202	d78ther203	d78ther204	d78ther205	d78ther206	d78ther207	d78ther208	d78ther209	d78ther210
trt	ARG_name	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther
day		7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78
gene_1017907	tet(W/N/W)	16274	36149	425872	7745	23610	84984	64502	16764	57270	220978	117902	93935	1	12821	6290	23612	6338	14898	6310	10115	1	32881	33722	25770	1	62482	51358	1	12045	122825	26186	29984	33274	44864	29606	9270	11049	5520	26078	52109	6518	97744	23848	8604	13884	18560	2834	70522	22555	27552	26448	3862	4865	15870	7025	87446	4395	3311	2947	23364	245842	145161	55720	252610	136244	148153	116756	67115	96132	39459	13411	46479	20357	1	73111	23914	86251	41227	19594	103578	14552	52161	28355	10288	28508	11214	67167	21537	2890	30452	16451	25788
gene_1023996	poxtA	1	4918	1	1	1	3942	1	1	36524	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4162	1	1	11274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7226	8529	12422	68033	23870	22339	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3884	1	1
gene_1028747	mdtF	56883	20340	12814	1	36230	8892	8248	77174	8239	39894	39119	44353	27311	1	31371	1	17019	87636	43573	38805	11850	60968	20124	39545	6240	29502	7881	198275	52368	66752	1	4183	1	1	1	1	8477	1	1	2856	1	1974	3660	3301	1	10681	2175	6493	1	1	28989	1	7466	1	8085	3727	3372	20326	2261	10244	1905	1	2138	1	6672	1	1	1	2543	1	1	1	3905	1	10199	1	4564	2433	1	1	2791	1	6527	55255	17499	30113	5153	8262	6651	1	5049	1
gene_1028748	mdtE	425825	153587	68145	15049	334882	48036	29243	579784	27819	309814	324432	404344	387305	49823	200442	22429	135453	629117	490411	243708	84024	393971	87363	527417	34763	147552	47899	401688	324516	620487	1	2119	5172	25359	9861	1	5725	1	1	5786	10132	7996	22242	16718	1	54095	8811	26309	8765	10707	590230	18010	49155	16446	16380	18879	10247	25736	36648	49289	5790	5503	6496	4731	4506	3030	1	5796	18034	1	1	3440	31644	10838	27120	1	1	4929	5711	7103	2827	2385	48483	197230	8863	104583	20881	25108	13475	8875	12786	6681
gene_1055257	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	191805	87817	72945	967	81024	109910	320632	1358747	63428	171946	1591	1803	1	800	1	1	1	4958	1	2525	1	2052	1870	1	1015	1799	1	1	1002	1	54736	115655	143669	441781	419078	136498	362158	100572	81357	238747	74020	30815	58331	113815	20098	238568	24050	189389	36591	3438	1	1	1	1	1	1	1	1	1	833	1240	3535	5563	3038	4341	12650	5464	1	6619	1	16736	1	6351	15662	6635	2984	1	792	1	3041	4540	3829	2831	26533	14230	26588	6706	6271	7933	1900	1642	1430
gene_1055467	poxtA	1	1	1	1	1	1	88117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2194	1	80490	1	1	11143	2311	189105	38237	1	1	2034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	47494	40629	1	19957	25345	70306	11963	1	3623	263537	36642	437821	136273	819163	138014	3267	22753	5199	1338	108206	540726	196168	526815	108689	186939	1492087	194527	2944145	132636	183047	28767	211376
gene_1059415	poxtA	849	16971	1	1	1	3627	5047	1968	1	2034	1	16962	1	1	20672	1232	1488	6994	1	45115	1450	1286	1759	2016	3818	1	3617	1	1	1	1	2559	1	1915	7943	1	1	2592	1	10485	1	1	1	1	1	1	1	1	1	1	1	1	2284	1	1	1	1	1	1	1	1	1	2616	1429	1361	3661	1	2334	1556	1	1	2078	1	6547	6241	1	1	1	1	1	1	1	1	1	1	7897	1	1	1	1787	1	1
gene_1061996	mdtH	286715	114816	83919	14414	338331	46010	12004	377498	15987	154823	358189	478730	304723	38177	177939	15624	66049	787419	399265	195778	29892	244769	80889	441223	51458	123438	42055	577114	242086	308585	2437	8117	1	21253	3149	2300	24674	4109	3235	2771	9704	5744	24854	6405	1	41450	6329	48298	5597	23929	590645	23000	25351	11814	28763	50631	13087	27116	10969	19878	3697	2636	29035	6797	6474	5805	2716	1	14806	9791	1	1	34097	1	19791	4450	2214	1	5470	2268	2708	4568	21108	214438	16978	93911	1	13360	6453	14168	31841	10665
