geneID	d07ctrl031	d07ctrl032	d07ctrl033	d07ctrl034	d07ctrl035	d07ctrl036	d07ctrl037	d07ctrl038	d07ctrl039	d07ctrl040	d07sub041	d07sub042	d07sub043	d07sub044	d07sub045	d07sub046	d07sub047	d07sub048	d07sub049	d07sub050	d07ther051	d07ther052	d07ther053	d07ther054	d07ther055	d07ther056	d07ther057	d07ther058	d07ther059	d07ther060	d35ctrl091	d35ctrl092	d35ctrl093	d35ctrl094	d35ctrl095	d35ctrl096	d35ctrl097	d35ctrl098	d35ctrl099	d35ctrl100	d35sub101	d35sub102	d35sub103	d35sub104	d35sub105	d35sub106	d35sub107	d35sub108	d35sub109	d35sub110	d35ther111	d35ther112	d35ther113	d35ther114	d35ther115	d35ther116	d35ther117	d35ther118	d35ther119	d35ther120	d78ctrl181	d78ctrl182	d78ctrl183	d78ctrl184	d78ctrl185	d78ctrl186	d78ctrl187	d78ctrl188	d78ctrl189	d78ex1sub	d78ex2sub	d78ex3sub	d78sub191	d78sub192	d78sub193	d78sub194	d78sub195	d78sub196	d78sub197	d78sub198	d78sub199	d78sub200	d78ther201	d78ther202	d78ther203	d78ther204	d78ther205	d78ther206	d78ther207	d78ther208	d78ther209	d78ther210
gene_1017907	9	15	102	2	4	22	12	4	16	51	37	13	0	4	2	9	2	3	1	2	0	12	9	6	0	26	20	0	3	24	8	11	10	11	7	3	3	1	6	14	2	38	5	2	5	4	1	25	6	6	7	1	1	6	2	18	1	1	1	7	99	41	20	83	47	38	32	27	29	9	1	21	4	0	44	4	29	13	8	34	4	17	10	3	5	4	10	6	1	8	5	9
gene_1023996	0	2	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	23	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gene_1028747	41	11	4	0	8	3	2	24	3	12	16	8	8	0	13	0	7	23	9	10	5	29	7	12	2	16	4	1	17	17	0	2	0	0	0	0	3	0	0	1	0	1	1	1	0	3	1	3	0	0	10	0	2	0	3	1	1	8	1	4	1	0	1	0	3	0	0	0	1	0	0	0	1	0	8	0	2	1	0	0	1	0	3	21	4	14	1	3	3	0	2	0
gene_1028748	303	82	21	5	73	16	7	178	10	92	131	72	112	20	82	11	55	163	100	62	35	185	30	158	11	79	24	2	104	156	0	1	2	8	3	0	2	0	0	2	4	4	6	5	0	15	4	12	3	3	201	6	13	8	6	5	3	10	16	19	3	2	3	2	2	1	0	3	7	0	0	2	8	2	21	0	0	2	3	3	1	1	22	74	2	48	4	9	6	3	5	3
gene_1055257	425	146	70	1	55	114	239	1299	71	159	2	1	0	1	0	0	0	4	0	2	0	3	2	0	1	3	0	0	1	0	67	170	173	434	397	177	394	73	75	257	91	48	49	106	29	206	34	269	39	3	0	0	0	0	0	0	0	0	0	1	2	4	8	4	6	13	6	0	8	0	5	0	5	9	16	2	0	1	0	4	5	5	4	31	10	38	4	7	11	2	2	2
gene_1055467	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	45	0	0	5	1	112	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	21	0	12	16	33	6	0	2	110	5	362	49	215	152	1	14	3	1	65	272	117	340	58	60	974	53	1501	84	88	16	135
gene_1059415	1	15	0	0	0	2	2	1	0	1	0	5	0	0	14	1	1	3	0	19	1	1	1	1	2	0	3	0	0	0	0	2	0	1	4	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	2	0	2	1	0	0	2	0	2	8	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0
gene_1061996	213	64	27	5	77	16	3	121	6	48	151	89	92	16	76	8	28	213	85	52	13	120	29	138	17	69	22	3	81	81	1	4	0	7	1	1	9	1	1	1	4	3	7	2	0	12	3	23	2	7	210	8	7	6	11	14	4	11	5	8	2	1	14	3	3	2	1	0	6	3	0	0	9	0	16	1	1	0	3	1	1	2	10	84	4	45	0	5	3	5	13	5
gene_1062008	177	36	26	2	82	10	2	137	9	71	100	111	125	13	57	12	33	174	92	66	16	113	38	148	12	51	18	2	114	103	2	7	4	7	0	0	6	0	1	2	3	8	2	0	0	9	3	28	0	1	221	6	4	6	11	3	4	19	2	10	3	0	3	1	3	1	0	4	10	3	1	0	8	0	16	0	1	3	0	0	0	1	13	55	4	41	3	4	2	2	9	4
gene_1065706	131	47	17	2	61	8	0	147	2	57	80	89	34	12	52	13	13	156	34	51	13	80	31	106	6	42	30	2	78	70	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	1	0	4	0	0	27	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	2	0	1	0	0	1	1
